"ID","condition","correct","rt"
1,1,1,441.091166665708
1,1,0,988.495463320241
1,1,1,781.01241186102
1,1,1,679.129102792785
1,1,1,374.758499499857
1,1,1,453.59479841874
1,1,1,418.095735989437
1,1,1,526.346107013202
1,1,1,2547.36561717694
1,1,1,481.208019472621
1,1,0,365.656848441501
1,1,1,656.90813222215
1,1,1,681.742494945977
1,1,0,627.689739229891
1,1,1,393.484723026362
1,1,1,579.350361118342
1,1,0,589.71692699304
1,1,1,563.792650349979
1,1,0,465.368112380996
1,1,1,341.96439138003
1,1,1,531.809921567367
1,1,0,396.751750241745
1,1,1,441.127079199868
1,1,1,383.782376061777
1,1,1,722.303938003516
1,1,1,452.036773553993
1,1,1,340.938665525324
1,1,0,432.03295150402
1,1,1,2696.4025890813
1,1,1,418.307344456607
1,1,1,352.786691788431
1,1,1,367.737946423395
1,1,0,547.099774317533
1,1,1,479.079492667902
1,1,1,368.032969776507
1,1,0,643.607623836614
1,1,0,442.35701653274
1,1,1,435.832574553818
1,1,1,439.170886063391
1,1,1,478.424397372029
1,1,1,392.942781854463
1,1,1,462.846929528962
1,1,1,491.189137667513
1,1,1,549.926560286303
1,1,0,435.345998533053
1,1,1,488.723646929117
1,1,1,433.947795119852
1,1,1,667.073549210962
1,1,1,1005.5588783287
1,1,0,1791.70056740693
1,1,1,774.862366376879
1,1,1,434.656267554752
1,1,1,691.822701569274
1,1,1,630.826916596421
1,1,1,469.041338669558
1,1,1,727.2847275106
1,1,1,858.44870914359
1,1,0,562.903548960292
1,1,1,393.229249542342
1,1,1,477.865132156264
1,1,1,368.127171310067
1,1,1,342.364174636505
1,1,1,1122.90807360402
1,1,1,539.40469971059
1,1,1,431.594789818208
1,1,0,756.107998542584
1,1,1,524.097903682074
1,1,0,367.892093816947
1,1,1,667.519188773819
1,1,1,721.321792035312
1,1,1,621.464135875447
1,1,1,556.401022332916
1,1,1,458.404885584889
1,1,1,906.720592355442
1,1,1,462.406859728537
1,1,1,505.41963352799
1,1,1,711.812834165952
1,1,1,436.72217211699
1,1,1,442.272905308697
1,1,1,477.84429762919
1,1,1,573.447232071692
1,1,1,378.861180121955
1,1,0,609.537918676672
1,1,1,644.477950646179
1,1,1,758.395731770984
1,1,1,404.66688339841
1,1,1,612.269096172179
1,1,1,669.077100851731
1,1,1,761.833620323581
1,1,0,733.762262837419
1,1,1,491.604041136662
1,1,1,494.253939781892
1,1,1,857.208445889758
1,1,1,520.531515920613
1,1,1,494.441948766599
1,1,1,1005.72387956138
1,1,1,432.350296143758
1,1,1,453.796872731129
1,1,1,339.938786864434
1,1,1,362.398144804738
1,1,1,679.283350638536
1,1,1,600.36950414553
1,1,1,497.27207220247
1,1,0,552.662831324249
1,1,1,469.058633646485
1,1,1,665.388990841976
1,1,1,452.916872754967
1,1,1,404.513498969992
1,1,0,658.445732345169
1,1,1,764.839510612184
1,1,1,792.751575014207
1,1,1,336.147291486365
1,1,1,860.612009265806
1,1,0,388.096152161863
1,1,1,378.263543550185
1,1,1,838.024854310004
1,1,0,531.367181130472
1,1,1,473.383355321743
1,1,1,691.145471098039
1,1,0,686.090716263834
1,1,1,448.384362289123
1,1,1,696.785008390245
1,1,1,415.138801542872
1,1,1,506.547642695336
1,1,1,596.248290904774
1,1,1,441.889856571558
1,1,0,480.173712985379
1,1,1,518.621588726296
1,1,1,442.397765119884
1,1,1,764.257040254655
1,1,0,728.229522334028
1,1,1,615.846834514901
1,1,1,475.40617115604
1,1,1,347.483872360945
1,1,1,1176.22785958588
1,1,0,499.857133372536
1,1,0,473.930664688739
1,1,1,365.001236749219
1,1,1,544.14007002556
1,1,1,490.785804160671
1,1,1,489.772791106367
1,1,1,785.675862910769
1,1,0,477.683144973356
1,1,1,572.103574556012
1,1,0,499.859478289311
1,1,1,594.152126219218
1,1,1,927.931085311846
1,1,1,720.619895805685
1,1,1,971.098883429608
1,1,0,590.475435750135
1,1,1,733.208511662427
1,1,1,505.588255212824
1,1,1,340.048820788037
1,1,1,732.298341668439
1,1,0,564.03268419599
1,1,1,723.571473918209
1,1,1,561.110444274664
1,1,1,343.554330378164
1,1,1,453.291951586956
